"","Host","Host_Upham"
"1","addax nasomaculatus","Addax nasomaculatus"
"2","addax nasomaculatus","Addax nasomaculatus"
"3","addax nasomaculatus","Addax nasomaculatus"
"4","aepyceros melampus","Aepyceros melampus"
"5","aepyceros melampus","Aepyceros melampus"
"6","aepyceros melampus","Aepyceros melampus"
"7","aepyceros melampus","Aepyceros melampus"
"8","aepyceros melampus","Aepyceros melampus"
"9","aepyceros melampus","Aepyceros melampus"
"10","aepyceros melampus","Aepyceros melampus"
"11","aepyceros melampus","Aepyceros melampus"
"12","aepyceros melampus","Aepyceros melampus"
"13","aepyceros melampus","Aepyceros melampus"
"14","aepyceros melampus","Aepyceros melampus"
"15","aepyceros melampus","Aepyceros melampus"
"16","aepyceros melampus","Aepyceros melampus"
"17","aepyceros melampus","Aepyceros melampus"
"18","aepyceros melampus","Aepyceros melampus"
"19","aepyceros melampus","Aepyceros melampus"
"20","aepyceros melampus","Aepyceros melampus"
"21","aepyceros melampus","Aepyceros melampus"
"22","aepyceros melampus","Aepyceros melampus"
"23","aepyceros melampus","Aepyceros melampus"
"24","aepyceros melampus","Aepyceros melampus"
"25","aepyceros melampus","Aepyceros melampus"
"26","aepyceros melampus","Aepyceros melampus"
"27","aepyceros melampus","Aepyceros melampus"
"28","aepyceros melampus","Aepyceros melampus"
"29","aepyceros melampus","Aepyceros melampus"
"30","aepyceros melampus","Aepyceros melampus"
"31","aepyceros melampus","Aepyceros melampus"
"32","aepyceros melampus","Aepyceros melampus"
"33","aepyceros melampus","Aepyceros melampus"
"34","aepyceros melampus","Aepyceros melampus"
"35","aepyceros melampus","Aepyceros melampus"
"36","aepyceros melampus","Aepyceros melampus"
"37","aepyceros melampus","Aepyceros melampus"
"38","aepyceros melampus","Aepyceros melampus"
"39","aepyceros melampus","Aepyceros melampus"
"40","aepyceros melampus","Aepyceros melampus"
"41","aepyceros melampus","Aepyceros melampus"
"42","aepyceros melampus","Aepyceros melampus"
"43","aepyceros melampus","Aepyceros melampus"
"44","aepyceros melampus","Aepyceros melampus"
"45","aepyceros melampus","Aepyceros melampus"
"46","aepyceros melampus","Aepyceros melampus"
"47","aepyceros melampus","Aepyceros melampus"
"48","aepyceros melampus","Aepyceros melampus"
"49","aepyceros melampus","Aepyceros melampus"
"50","aepyceros melampus","Aepyceros melampus"
"51","aepyceros melampus","Aepyceros melampus"
"52","aepyceros melampus","Aepyceros melampus"
"53","aepyceros melampus","Aepyceros melampus"
"54","aepyceros melampus","Aepyceros melampus"
"55","aepyceros melampus","Aepyceros melampus"
"56","aepyceros melampus","Aepyceros melampus"
"57","aepyceros melampus","Aepyceros melampus"
"58","aepyceros melampus","Aepyceros melampus"
"59","aepyceros melampus","Aepyceros melampus"
"60","aepyceros melampus","Aepyceros melampus"
"61","aepyceros melampus","Aepyceros melampus"
"62","aepyceros melampus","Aepyceros melampus"
"63","aepyceros melampus","Aepyceros melampus"
"64","aepyceros melampus","Aepyceros melampus"
"65","alcelaphus buselaphus","Alcelaphus buselaphus"
"66","alcelaphus buselaphus","Alcelaphus buselaphus"
"67","alcelaphus buselaphus","Alcelaphus buselaphus"
"68","alcelaphus buselaphus","Alcelaphus buselaphus"
"69","alcelaphus buselaphus","Alcelaphus buselaphus"
"70","alcelaphus buselaphus","Alcelaphus buselaphus"
"71","alcelaphus buselaphus","Alcelaphus buselaphus"
"72","alcelaphus buselaphus","Alcelaphus buselaphus"
"73","alcelaphus buselaphus","Alcelaphus buselaphus"
"74","alcelaphus buselaphus","Alcelaphus buselaphus"
"75","alcelaphus buselaphus","Alcelaphus buselaphus"
"76","alcelaphus buselaphus","Alcelaphus buselaphus"
"77","alcelaphus buselaphus","Alcelaphus buselaphus"
"78","alcelaphus buselaphus","Alcelaphus buselaphus"
"79","alcelaphus buselaphus","Alcelaphus buselaphus"
"80","alcelaphus buselaphus","Alcelaphus buselaphus"
"81","alcelaphus buselaphus","Alcelaphus buselaphus"
"82","alcelaphus buselaphus","Alcelaphus buselaphus"
"83","alcelaphus buselaphus","Alcelaphus buselaphus"
"84","alcelaphus buselaphus","Alcelaphus buselaphus"
"85","alcelaphus buselaphus","Alcelaphus buselaphus"
"86","alcelaphus buselaphus","Alcelaphus buselaphus"
"87","alcelaphus buselaphus","Alcelaphus buselaphus"
"88","alcelaphus buselaphus","Alcelaphus buselaphus"
"89","alcelaphus buselaphus","Alcelaphus buselaphus"
"90","alcelaphus buselaphus","Alcelaphus buselaphus"
"91","alcelaphus buselaphus","Alcelaphus buselaphus"
"92","alces alces","Alces alces"
"93","alces alces","Alces alces"
"94","alces alces","Alces alces"
"95","alces alces","Alces alces"
"96","alces alces","Alces alces"
"97","alces alces","Alces alces"
"98","alces alces","Alces alces"
"99","alces alces","Alces alces"
"100","alces alces","Alces alces"
"101","alces alces","Alces alces"
"102","alces alces","Alces alces"
"103","alces alces","Alces alces"
"104","alces alces","Alces alces"
"105","alces alces","Alces alces"
"106","alces alces","Alces alces"
"107","alces alces","Alces alces"
"108","alces alces","Alces alces"
"109","alces alces","Alces alces"
"110","alces alces","Alces alces"
"111","alces alces","Alces alces"
"112","alces alces","Alces alces"
"113","alces alces","Alces alces"
"114","alces alces","Alces alces"
"115","alces alces","Alces alces"
"116","alces alces","Alces alces"
"117","alces alces","Alces alces"
"118","alces alces","Alces alces"
"119","alces alces","Alces alces"
"120","alces alces","Alces alces"
"121","alces alces","Alces alces"
"122","alces alces","Alces alces"
"123","alces alces","Alces alces"
"124","alces alces","Alces alces"
"125","alces alces","Alces alces"
"126","alces alces","Alces alces"
"127","alces americanus","Alces americanus"
"128","alces americanus","Alces americanus"
"129","ammotragus lervia","Ammotragus lervia"
"130","ammotragus lervia","Ammotragus lervia"
"131","ammotragus lervia","Ammotragus lervia"
"132","ammotragus lervia","Ammotragus lervia"
