"Parasite","Host","ReferenceText","pmid","doi","title_pubMed"
"alphacoronavirus 1","acinonyx jubatus","Kennedy et al. 2003","14567213","10.7589/0090-3558-39.3.529","Detection of feline coronavirus infection in southern African nondomestic felids."
"alphacoronavirus 1","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"alphacoronavirus 1","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"bacillus anthracis","acinonyx jubatus","Good et al. 2008","18689661","10.7589/0090-3558-44.3.721","Naturally acquired anthrax antibodies in a cheetah (Acinonyx jubatus) in Botswana."
"bartonella henselae","acinonyx jubatus","Molia et al. 2004","15135511","10.1016/j.vetmic.2004.01.007","Prevalence of Bartonella infection in wild African lions (Panthera leo) and cheetahs (Acinonyx jubatus)."
"helicobacter sp.","acinonyx jubatus","Munson et al. 2005","16244064","10.7589/0090-3558-41.3.542","Extrinsic factors significantly affect patterns of disease in free-ranging and captive cheetah (Acinonyx jubatus) populations."
"hepatozoon sp.","acinonyx jubatus","Averbeck et al. 1990","2117677","10.7589/0090-3558-26.3.392","Prevalence of hematozoans in lions (Panthera leo) and cheetah (Acinonyx jubatus) in Serengeti National Park and Ngorongoro Crater, Tanzania."
"feline immunodeficiency","acinonyx jubatus","Brown et al. 1993",NA,NA,NA
"feline immunodeficiency","acinonyx jubatus","Osofsky et al. 1996",NA,NA,NA
"rabies lyssavirus","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"canine distemper","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"canine distemper","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"mycobacterium bovis","acinonyx jubatus","Keet et al 1996a",NA,NA,NA
"neospora caninum","acinonyx jubatus","Ferroglio et al. 2003","14651874","10.1016/j.vetpar.2003.09.006","Antibodies to Neospora caninum in wild animals from Kenya, East Africa."
"carnivore protoparvovirus 1","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"carnivore protoparvovirus 1","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"trichinella nelsoni","acinonyx jubatus","Pozio et al. 1997","9406805","10.2307/3284388","Trichinella nelsoni in carnivores from the Serengeti ecosystem, Tanzania."
"felid alphaherpesvirus 1","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"felid alphaherpesvirus 1","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"feline calicivirus","acinonyx jubatus","Munson et al. 2004","15137485","10.7589/0090-3558-40.1.23","Serosurvey of viral infections in free-ranging Namibian cheetahs (Acinonyx jubatus)."
"feline calicivirus","acinonyx jubatus","Thalwitzer et al. 2010","19955325","10.1128/CVI.00345-09","Seroprevalences to viral pathogens in free-ranging and captive cheetahs (Acinonyx jubatus) on Namibian Farmland."
"longistrongylus curvispiculum","addax nasomaculatus","Craig 1993","8355363","10.7589/0090-3558-29.3.516","Longistrongylus curvispiculum (Nematoda: Trichostrongyloidea) in free-ranging exotic antelope in Texas."
"agriostomum gorgonis","aepyceros melampus","Ezenwa 2003","12741517","10.1017/S0031182002002913","Habitat overlap and gastrointestinal parasitism in sympatric African bovids."
"agriostomum sp.","aepyceros melampus","Boomker et al 1989c",NA,NA,NA
"anaplasma platys","aepyceros melampus","du Plessis et al 1997",NA,NA,NA
