Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,Vector_GIDEON,VectorBorne,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
achromobacter piechaudii,achromobacter piechaudii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Eastern Asia, Southern Asia","IR,CN"
achromobacter xylosoxidans,achromobacter xylosoxidans,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","IN,DK,AR,GB,PT,RU,HU,IR,UY,IT,DE,JP,CN,CZ,TH,US,BE,SK"
acidaminococcus fermentans,acidaminococcus fermentans,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,,
acinetobacter baumannii,acinetobacter baumannii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern Africa, Eastern Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KE,FI,IR,IT,SE,CL,US,KR,HT,GR,JP,CN,FR,CO,PL,TH,GB,BR,NO,MY,IN,TN,IQ,IE,TR,SG,AU,DE,AR,LT,RU,CA,PT,TW,HK"
acinetobacter calcoaceticus,acinetobacter calcoaceticus,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Western Africa, Central Asia, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","FI,SE,ML,CN,SK,TH,GB,IN,SA,KG,ES,MY"
acinetobacter haemolyticus,acinetobacter haemolyticus,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"South America, Southern Asia","IN,BR"
acinetobacter johnsonii,acinetobacter johnsonii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Central America, South America, Eastern Asia, South-eastern Asia, Southern Asia, Southern Europe, Western Europe","CN,DE,ES,IN,BR,JP,MX,GR,MY"
acinetobacter junii,acinetobacter junii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Central America, South America, Eastern Asia, Southern Asia, Eastern Europe, Western Europe","CN,AR,TW,MX,IN,JP,UA,AT,BR"
acinetobacter lwoffii,acinetobacter lwoffii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Central America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","IL,IN,JP,NL,TH,PL,CN,MX,FR,ES,TW,RU,GB,UA"
acinetobacter radioresistens,acinetobacter radioresistens,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"South-eastern Asia, Southern Asia, Western Asia, Southern Europe, Western Europe","FR,IN,IQ,MY,IT"
acinetobacter ursingii,acinetobacter ursingii,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern America, Southern Asia, Eastern Europe","IN,CZ,CA"
acremonium kiliense,acremonium kiliense,fungi,1,0,1,1,1,1,fungal infection invasive,"endogenous, respiratory",0,NA,0,0,NA,1,"Western Europe, Australia and New Zealand","DE,AU"
acremonium strictum,acremonium strictum,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Central America, South America, Northern America, Eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","AU,ES,MX,US,AT,CN,IN,BR,BE,SE"
actinobacillus equuli,actinobacillus equuli,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,NA,0,0,NA,1,Northern Europe,NO
actinobacillus lignieresii,actinobacillus lignieresii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
actinobacillus pleuropneumoniae,actinobacillus pleuropneumoniae,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,"Northern America, Eastern Asia, Northern Europe, Western Europe","JP,TW,DK,CH,CN,CA"
actinobacillus suis,actinobacillus suis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
actinomucor elegans,actinomucor elegans,fungi,1,1,0,1,0,1,zygomycosis,"direct, respiratory",0,NA,0,0,NA,0,"Southern Africa, Northern America, Eastern Asia, Eastern Europe","CN,CZ,ZA,US"
actinomyces viscosus,actinomyces viscosus,bacteria/rickettsia,1,1,1,1,0,1,actinomycosis,endogenous,0,NA,0,0,NA,0,,
aerococcus viridans,aerococcus viridans,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern America, Eastern Asia, Southern Asia, Eastern Europe","HU,IN,IR,SK,US,CN"
aeromonas bestiarum,aeromonas bestiarum,bacteria/rickettsia,1,1,1,1,1,1,aeromonas and marine vibrio infection,aeromonas bestiarum,1,NA,0,0,NA,0,"Northern America, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","AQ,CH,ES,FR,US,DE,AU,FI"
aeromonas caviae,aeromonas caviae,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,NA,0,0,NA,1,"South America, Northern America, Eastern Asia, Southern Asia, Southern Europe, Western Europe, Australia and New Zealand","IN,CA,PT,BR,JP,FR,CN,AU,TW"
aeromonas enteropelogenes,aeromonas enteropelogenes,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,NA,0,0,NA,0,"Southern Asia, Southern Europe","PT,IN"
aeromonas hydrophila,aeromonas hydrophila,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,NA,0,0,NA,1,"Northern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IN,JP,PT,TH,AU,DE,GR,MX,FI,CO,BD,CN,NO,CH,ES,MY,US,BR,FR,SE,IL,SG,GB,IR,MA,CA,RU,TW,EG"
aeromonas salmonicida,aeromonas salmonicida,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,NA,0,0,NA,0,"South America, Northern America, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IN,DK,NO,AU,GB,CH,GR,DE,IE,PT,KR,ES,RU,US,FI,IL,CN,LT,JP,TR,CA,CL"
aeromonas sobria,aeromonas sobria,bacteria/rickettsia,1,1,1,1,1,1,aeromonas and marine vibrio infection,aeromonas bestiarum,1,NA,0,0,NA,1,"Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe","IN,JP,LT,CN,HU,ES"
aeromonas veronii,aeromonas veronii,bacteria/rickettsia,1,1,1,1,1,1,aeromonas or marine vibrio infx,"water, food, direct",1,NA,0,0,NA,0,"Southern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IN,JP,GB,CN,MX,PT,BR,US,IR,FR,KR,IL,AU,MY,ES,BD,ZA,SG,HU"
aggregatibacter actinomycetemcomitans,aggregatibacter actinomycetemcomitans,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern America, Eastern Asia, Northern Europe, Western Europe","FR,US,IE,JP"
aggregatibacter segnis,aggregatibacter segnis,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,Northern Europe,"DK,SE"
agrobacterium tumefaciens,agrobacterium tumefaciens,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern Africa, Southern Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","ES,FR,CL,MX,DE,AU,US,RU,CN,JP,PL,DK,GB,IN,TN,ZA,DZ,CU,EG,MA,BS,BE,IL,TH,KW"
ajellomyces capsulatus,ajellomyces capsulatus,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Northern Africa, Eastern Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Western Europe, Australia and New Zealand","UG,JP,GN,AU,BR,MX,GB,PA,CO,US,CN,TH,GT,ZA,EC,AR,ID,EG,IN,BE,PL,NG,SN,PR"
ajellomyces dermatitidis,ajellomyces dermatitidis,fungi,1,1,0,0,0,0,NA,NA,0,NA,0,0,NA,0,Northern America,"US,CA"
alaria marcianae,alaria marcianae,helminth,1,0,1,0,1,0,NA,NA,0,NA,0,0,NA,1,,
alternaria alternata,alternaria alternata,fungi,1,1,1,0,0,0,NA,NA,0,NA,0,0,NA,0,"Caribbean, Central America, South America, Northern America, Eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","CN,IN,AU,CH,JP,ES,CL,AQ,OM,GB,US,IR,PR,IT,EC,SE,AT,IL,BR,MX,SA,LT,GL,CZ"
anaplasma ovis,anaplasma ovis,bacteria/rickettsia,1,1,1,1,1,1,anaplasmosis,"vector, direct",1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,0,NA,0,"Southern Africa, Northern America, Eastern Asia, Western Asia, Eastern Europe, Southern Europe","ES,US,HU,ZA,CN,CY,TR"
anaplasma phagocytophilum,anaplasma phagocytophilum,bacteria/rickettsia,1,1,1,1,1,1,anaplasmosis,"vector, direct",1,"tick (ixodes scapularis, ixodes pacificus, ixodes ricinus)",1,1,ehrlichioses,0,"Northern America, Eastern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Northern Africa, South America","CA,US,ES,IT,DE,AT,CY,CZ,PL,BG,FI,NO,SE,CN,BY,TN,LT,GB,JP,RU,TR,DK,CH,SI,AL,KR,FR,EE,AR,LV,EG"
ancylostoma braziliense,ancylostoma braziliense,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,NA,0,0,NA,1,,
ancylostoma caninum,ancylostoma caninum,helminth,1,1,1,1,1,1,cutaneous larva migrans,"environment, direct",1,NA,0,0,NA,1,"South-eastern Asia, Australia and New Zealand","LA,AU"
ancylostoma ceylanicum,ancylostoma ceylanicum,helminth,1,1,1,1,1,1,hookworm,"environment, direct",1,NA,0,0,NA,1,"Eastern Asia, South-eastern Asia, Australia and New Zealand","MY,JP,LA,AU"
ancylostoma duodenale,ancylostoma duodenale,helminth,1,1,1,1,1,1,hookworm,environment,1,NA,0,0,NA,1,"Eastern Africa, Eastern Asia, South-eastern Asia, Australia and New Zealand","TZ,CN,LA,AU"
andes,andes,virus,1,1,1,1,1,1,hantavirus pulmonary syndrome,"direct, environmental, respiratory",1,NA,0,1,hantavirus cardiopulmonary syndrome,1,South America,"CL,AR,UY"
angiostrongylus cantonensis,angiostrongylus cantonensis,helminth,1,1,1,1,1,1,angiostrongyliasis,"direct, environmental, food",1,NA,0,1,eosinophilic meningitis,0,"Northern Africa, Western Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Australia and New Zealand, Melanesia, Polynesia, Eastern Africa, Southern Europe","US,EC,BR,TO,AS,PF,CU,DO,JM,CI,EG,IN,CN,TH,VN,TW,AU,PG,JP,ID,MY,NC,ES,MV,RE"
angiostrongylus costaricensis,angiostrongylus costaricensis,helminth,1,1,1,1,1,1,"angiostrongyliasis, abdominal","direct, environmental",1,NA,0,1,eosinophilic meningitis,0,"Central America, South America","CR,BR"
anisakis physeteris,anisakis physeteris,helminth,1,1,1,1,1,1,anisakiasis,food,1,NA,0,0,NA,1,"South America, Eastern Asia, Southern Europe","BR,JP,IT"
