Host,HostClass,HostOrder,HostFamily,Virus,VirusClass,VirusOrder,VirusFamily,VirusGenus,Year,YearType,Database,DatabaseVersion,DetectionMethod,Detection_NotSpecified,Detection_Serology,Detection_Genetic,Detection_Isolation,Host_Original,Virus_Original,DetectionMethod_Original,Host_NCBIResolved,Virus_NCBIResolved,HostSynonyms
Arctocephalus australis,Mammalia,Carnivora,Otariidae,Influenza A virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,2009,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Arctocephalus australis,A influenza a,Serology,TRUE,TRUE,"arctocephalus australis australis, arctocephalus australis gracilis"
Arctocephalus australis,Mammalia,Carnivora,Otariidae,Influenza A virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,2009,Author,HP3,Olival et al. 2017 Nature,Antibodies,FALSE,TRUE,FALSE,FALSE,Arctocephalus australis,Influenza a,Antibodies,TRUE,TRUE,"arctocephalus australis australis, arctocephalus australis gracilis"
Arctocephalus australis,Mammalia,Carnivora,Otariidae,Influenza A virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,2009,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Antibodies,FALSE,TRUE,FALSE,FALSE,Arctocephalus australis,Influenza a,Antibodies,TRUE,TRUE,"arctocephalus australis australis, arctocephalus australis gracilis"
Arctocephalus australis,Mammalia,Carnivora,Otariidae,Influenza B virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Betainfluenzavirus,2009,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Arctocephalus australis,B influenza b,Serology,TRUE,TRUE,"arctocephalus australis australis, arctocephalus australis gracilis"
Arctocephalus australis,Mammalia,Carnivora,Otariidae,Influenza B virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Betainfluenzavirus,2009,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Antibodies,FALSE,TRUE,FALSE,FALSE,Arctocephalus australis,Influenza b,Antibodies,TRUE,TRUE,"arctocephalus australis australis, arctocephalus australis gracilis"
Arctocephalus australis,Mammalia,Carnivora,Otariidae,Sakobuvirus A,Pisoniviricetes,Picornavirales,Picornaviridae,Sakobuvirus,2016,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Arctocephalus australis,Sakobuvirus a,PCR,TRUE,TRUE,"arctocephalus australis australis, arctocephalus australis gracilis"
Arctocephalus forsteri,Mammalia,Carnivora,Otariidae,Phocine morbillivirus,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,2014,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Antibodies,FALSE,TRUE,FALSE,FALSE,Arctocephalus forsteri,Phocine distemper,Antibodies,TRUE,TRUE,
Arctocephalus galapagoensis,Mammalia,Carnivora,Otariidae,Mammalian orthoreovirus,Resentoviricetes,Reovirales,Reoviridae,Orthoreovirus,2009,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Arctocephalus galapagoensis,Mammalian orthoreovirus,Serology,TRUE,TRUE,
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Lagos bat lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,2007,PubMed,EID2,Wardeh et al. 2015 Sci Data,Not specified,TRUE,FALSE,FALSE,FALSE,Atilax paludinosus,Lagos bat,CargoCarrier,TRUE,TRUE,
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Lagos bat lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,NA,Nucleotide,EID2,Wardeh et al. 2015 Sci Data,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Atilax paludinosus,Lagos bat,PCR,TRUE,TRUE,
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Lagos bat lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,2006,Author,Shaw,Shaw et al. 2020 Mol Ecol,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Atilax paludinosus,Lagos bat lyssavirus,Isolation,TRUE,TRUE,
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,NA,Nucleotide,EID2,Wardeh et al. 2015 Sci Data,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Atilax paludinosus,Rabies,PCR,TRUE,TRUE,
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,NA,Nucleotide,EID2,Wardeh et al. 2015 Sci Data,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Atilax paludinosus,Rabies,PCR,TRUE,TRUE,
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,NA,Nucleotide,EID2,Wardeh et al. 2015 Sci Data,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Atilax paludinosus,Rabies,PCR,TRUE,TRUE,
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,2007,Author,GMPD2,Stephens et al. 2017 Ecology,Antibodies,FALSE,TRUE,FALSE,FALSE,Atilax paludinosus,Rabies lyssavirus,Serology,TRUE,TRUE,
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,2010,Author,HP3,Olival et al. 2017 Nature,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,Atilax paludinosus,Rabies,PCR,TRUE,TRUE,
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,Rabies lyssavirus,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,NA,NA,Shaw,Shaw et al. 2020 Mol Ecol,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,Atilax paludinosus,Rabies lyssavirus,Isolation,TRUE,TRUE,
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Influenza A virus,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,1976,NA,Shaw,Shaw et al. 2020 Mol Ecol,Antibodies,FALSE,TRUE,FALSE,FALSE,Callorhinus ursinus,Influenza a,Antibodies,TRUE,TRUE,"phoca ursina, otaria krachenninikowii, callorhinus curilensis, phoca nigra, siren cynocephala, phoca minima, arctocephalus californianus, callorhinus alascanus"
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Phocid alphaherpesvirus 1,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,1997,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Antibodies,FALSE,TRUE,FALSE,FALSE,Callorhinus ursinus,Phocid alphaherpesvirus 1,Antibodies,TRUE,TRUE,"phoca ursina, otaria krachenninikowii, callorhinus curilensis, phoca nigra, siren cynocephala, phoca minima, arctocephalus californianus, callorhinus alascanus"
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Phocid gammaherpesvirus 2,Herviviricetes,Herpesvirales,Herpesviridae,,1997,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Antibodies,FALSE,TRUE,FALSE,FALSE,Callorhinus ursinus,Phocid gammaherpesvirus 2,Antibodies,TRUE,TRUE,"phoca ursina, otaria krachenninikowii, callorhinus curilensis, phoca nigra, siren cynocephala, phoca minima, arctocephalus californianus, callorhinus alascanus"
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Tyuleniy virus,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,1972,PubMed,Shaw,Shaw et al. 2020 Mol Ecol,Antibodies,FALSE,TRUE,FALSE,FALSE,Callorhinus ursinus,Tyuleniy,Antibodies,TRUE,TRUE,"phoca ursina, otaria krachenninikowii, callorhinus curilensis, phoca nigra, siren cynocephala, phoca minima, arctocephalus californianus, callorhinus alascanus"
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Vesicular exanthema of swine virus,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,1998,PubMed,EID2,Wardeh et al. 2015 Sci Data,Not specified,TRUE,FALSE,FALSE,FALSE,Callorhinus ursinus,Vesicular exanthema of swine,CargoCarrier,TRUE,TRUE,
Callorhinus ursinus,Mammalia,Carnivora,Otariidae,Vesicular exanthema of swine virus,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,1986,PubMed,EID2,Wardeh et al. 2015 Sci Data,Not specified,TRUE,FALSE,FALSE,FALSE,Callorhinus ursinus,Vesicular exanthema of swine,CargoCarrier,TRUE,TRUE,
