"idx","PMID","Database","Lookup_Successful","PMID_lookup","Year","Journal","Title"
1,4108788,"pubmed",TRUE,"4108788",1971,"Proc Soc Exp Biol Med","Herpes virus aotus: a latent herpesvirus from owl monkeys (Aotus trivirgatus) isolation and characterization."
2,209216,"pubmed",TRUE,"209216",1978,"J Virol","Genetic analysis of a cytomegalovirus-like agent isolated from human brain."
3,26251484,"pubmed",TRUE,"26251484",2015,"Genome Announc","Complete Genome Sequences of Mandrillus leucophaeus and Papio ursinus Cytomegaloviruses."
4,12623061,"pubmed",TRUE,"12623061",2003,"Biologicals","Simian cytomegalovirus and contamination of oral poliovirus vaccines."
5,12607096,"pubmed",TRUE,"12607096",2003,"Arch Virol","Isolation of cytomegalovirus and foamy virus from the drill monkey (Mandrillus leucophaeus) and prevalence of antibodies to these viruses amongst wild-born and captive-bred individuals."
6,19107226,"pubmed",TRUE,"19107226",2008,"Neoplasia","The story of human cytomegalovirus and cancer: increasing evidence and open questions."
7,21272907,"pubmed",TRUE,"21272907",2011,"Virology","Isolation and characterization of cynomolgus macaque (Macaca fascicularis) cytomegalovirus (CyCMV)."
8,12767982,"pubmed",TRUE,"12767982",2003,"J Virol","Complete sequence and genomic analysis of rhesus cytomegalovirus."
9,6093744,"pubmed",TRUE,"6093744",1984,"Arch Virol","Initial characterization of four cytomegalovirus strains isolated from chimpanzees. Brief report."
10,11222707,"pubmed",TRUE,"11222707",2001,"J Virol","Detection of infectious baboon cytomegalovirus after baboon-to-human liver xenotransplantation."
11,11699958,"pubmed",TRUE,"11699958",2001,"Arch Virol","Isolation and characterization of an endogenous cytomegalovirus (BaCMV) from baboons."
12,6253743,"pubmed",TRUE,"6253743",1980,"Lab Anim Sci","Isolation and characterization of a cytomegalovirus from the salivary gland of a squirrel monkey (Saimiri sciureus)."
13,10987671,"pubmed",TRUE,"10987671",2000,"Comp Med","Fatal lymphoproliferative disease associated with a novel gammaherpesvirus in a captive population of common marmosets."
14,92573,"pubmed",TRUE,"92573",1979,"J Virol","Establishment of a lymphoblastoid cell line and isolation of an Epstein-Barr-related virus of gorilla origin."
16,2160013,"pubmed",TRUE,"2160013",1990,"J Med Primatol","Establishment of a B-lymphoblastoid cell line infected with Epstein-Barr-related virus from a cynomolgus monkey (Macaca fascicularis)."
19,4342526,"pubmed",TRUE,"4342526",1972,"Nature","EBV antibody in sera of non-human primates."
20,4358039,"pubmed",TRUE,"4358039",1972,"Int J Cancer","Establishment of continuous lymphoblast cultures from leukocytes of gibbons (Hylobates lar)."
22,4342526,"pubmed",TRUE,"4342526",1972,"Nature","EBV antibody in sera of non-human primates."
23,14107961,"pubmed",TRUE,"14107961",1964,"Lancet","VIRUS PARTICLES IN CULTURED LYMPHOBLASTS FROM BURKITT'S LYMPHOMA."
24,21242039,"pubmed",TRUE,"21242039",2011,"Vet Microbiol","Serological detection of Epstein-Barr virus infection in dogs and cats."
25,3017870,"pubmed",TRUE,"3017870",1986,"Int J Cancer","Epstein-Barr virus-related herpesvirus from a rhesus monkey (Macaca mulatta) with malignant lymphoma."
26,184297,"pubmed",TRUE,"184297",1976,"J Virol","Antigens and DNA of a chimpanzee agent related to Epstein-Barr virus."
27,216640,"pubmed",TRUE,"216640",1979,"Int J Cancer","Antibody responses to Herpesvirus papio antigens in baboons with lymphoma."
28,12208112,"pubmed",TRUE,"12208112",2002,"Res Vet Sci","Gamma herpesvirus carrier status of captive artiodactyls."
29,7327993,"pubmed",TRUE,"7327993",1981,"J Am Vet Med Assoc","Comparative pathology of the African form of malignant catarrhal fever in captive Indian gaur and domestic cattle."
30,12208112,"pubmed",TRUE,"12208112",2002,"Res Vet Sci","Gamma herpesvirus carrier status of captive artiodactyls."
31,26446889,"pubmed",TRUE,"26446889",2015,"Arch Virol","Wildebeest-associated malignant catarrhal fever: perspectives for integrated control of a lymphoproliferative disease of cattle in sub-Saharan Africa."
32,19244822,"pubmed",TRUE,"19244822",2009,"J S Afr Vet Assoc","Gammaherpesvirus carrier status of black wildebeest (Connochaetes gnou) in South Africa."
33,12208112,"pubmed",TRUE,"12208112",2002,"Res Vet Sci","Gamma herpesvirus carrier status of captive artiodactyls."
34,12208112,"pubmed",TRUE,"12208112",2002,"Res Vet Sci","Gamma herpesvirus carrier status of captive artiodactyls."
35,2716112,"pubmed",TRUE,"2716112",1989,"J Wildl Dis","Epidemiologic and pathologic aspects of an epizootic of malignant catarrhal fever in exotic hoofstock."
36,12208112,"pubmed",TRUE,"12208112",2002,"Res Vet Sci","Gamma herpesvirus carrier status of captive artiodactyls."
37,12208112,"pubmed",TRUE,"12208112",2002,"Res Vet Sci","Gamma herpesvirus carrier status of captive artiodactyls."
