"Pathogen_Original","InAssoc","Pathogen_Harmonised"
"acara orthobunyavirus",FALSE,""
"adelaide river ephemerovirus",FALSE,""
"adeno-associated dependoparvovirus a",FALSE,""
"adeno-associated dependoparvovirus b",FALSE,""
"african green monkey simian foamy",TRUE,"african green monkey simian foamy"
"african horse sickness",TRUE,"african horse sickness"
"african swine fever",TRUE,"african swine fever"
"aichivirus a",FALSE,""
"aichivirus b",FALSE,""
"aichivirus c",FALSE,""
"akabane orthobunyavirus",FALSE,""
"alagoas vesiculovirus",FALSE,""
"alcelaphine gammaherpesvirus 1",FALSE,""
"alcelaphine gammaherpesvirus 2",FALSE,""
"allpahuayo mammarenavirus",FALSE,""
"alphacoronavirus 1",TRUE,"alphacoronavirus 1"
"alphapapillomavirus 1",FALSE,""
"alphapapillomavirus 10",FALSE,""
"alphapapillomavirus 11",FALSE,""
"alphapapillomavirus 12",FALSE,""
"alphapapillomavirus 13",FALSE,""
"alphapapillomavirus 14",FALSE,""
"alphapapillomavirus 2",FALSE,""
"alphapapillomavirus 3",FALSE,""
"alphapapillomavirus 4",FALSE,""
"alphapapillomavirus 5",FALSE,""
"alphapapillomavirus 6",FALSE,""
"alphapapillomavirus 7",FALSE,""
"alphapapillomavirus 8",FALSE,""
"alphapapillomavirus 9",FALSE,""
"amapari mammarenavirus",FALSE,""
"andes hantavirus",FALSE,""
"anopheles b orthobunyavirus",FALSE,""
"aotine betaherpesvirus 1",FALSE,""
"apoi",TRUE,"apoi"
"aquamavirus a",FALSE,""
"aravan lyssavirus",FALSE,""
"aroa",TRUE,"aroa"
"ateline alphaherpesvirus 1",FALSE,""
"ateline gammaherpesvirus 2",FALSE,""
"ateline gammaherpesvirus 3",FALSE,""
"australian bat lyssavirus",TRUE,"australian bat lyssavirus"
"avastrovirus 2",FALSE,""
"avastrovirus 3",FALSE,""
"avian dependoparvovirus 1",FALSE,""
"avian orthoreovirus",TRUE,"avian orthoreovirus"
"bagaza",TRUE,"bagaza"
"bakau orthobunyavirus",FALSE,""
"banna",TRUE,"banna"
"banzi",TRUE,"banzi"
"barmah forest",TRUE,"barmah forest"
"bat hepatitis",FALSE,""
"bat mastadenovirus a",FALSE,""
"bat mastadenovirus b",FALSE,""
"bayou hantavirus",FALSE,""
"bear canyon mammarenavirus",FALSE,""
"bebaru",TRUE,"bebaru"
"beluga whale coronavirus sw1",TRUE,"beluga whale coronavirus sw1"
"benevides orthobunyavirus",FALSE,""
"berrimah ephemerovirus",FALSE,""
"bertioga orthobunyavirus",FALSE,""
"betacoronavirus 1",TRUE,"betacoronavirus 1"
"betapapillomavirus 1",FALSE,""
"betapapillomavirus 2",FALSE,""
"betapapillomavirus 3",FALSE,""
"betapapillomavirus 4",FALSE,""
"betapapillomavirus 5",FALSE,""
"betapapillomavirus 6",FALSE,""
"bimiti orthobunyavirus",FALSE,""
"black creek canal hantavirus",FALSE,""
"bluetongue",TRUE,"bluetongue"
"bokeloh bat lyssavirus",FALSE,""
"border disease",TRUE,"border disease"
"bos taurus polyomavirus 1",FALSE,""
"bouboui",TRUE,"bouboui"
"bovine alphaherpesvirus 1",TRUE,"bovine alphaherpesvirus 1"
"bovine alphaherpesvirus 2",TRUE,"bovine alphaherpesvirus 2"
"bovine alphaherpesvirus 5",FALSE,""
"bovine atadenovirus d",FALSE,""
"bovine fever ephemerovirus",FALSE,""
"bovine foamy",TRUE,"bovine foamy"
"bovine gammaherpesvirus 4",FALSE,""
"bovine gammaherpesvirus 6",FALSE,""
"bovine immunodeficiency",TRUE,"bovine immunodeficiency"
"bovine leukemia",TRUE,"bovine leukemia"
"bovine mastadenovirus a",FALSE,""
"bovine mastadenovirus b",FALSE,""
"bovine mastadenovirus c",FALSE,""
"bovine papular stomatitis",TRUE,"bovine papular stomatitis"
"bovine parainfluenza virus 3",TRUE,"bovine parainfluenza virus 3"
"bovine respiratory syncytial",TRUE,"bovine respiratory syncytial"
"bovine rhinitis a",FALSE,""
"bovine rhinitis b",TRUE,"bovine rhinitis b"
"bovine torovirus",TRUE,"bovine torovirus"
"bovine viral diarrhea virus 1",TRUE,"bovine viral diarrhea virus 1"
"bovine viral diarrhea virus 2",TRUE,"bovine viral diarrhea virus 2"
"bubaline alphaherpesvirus 1",FALSE,""
"bujaru phlebovirus",FALSE,""
"bukalasa bat",TRUE,"bukalasa bat"
"bundibugyo ebolavirus",FALSE,""
"bunyamwera orthobunyavirus",FALSE,""
"bushbush orthobunyavirus",FALSE,""
"bwamba orthobunyavirus",FALSE,""
"cabassou",TRUE,"cabassou"
"cacipacore",TRUE,"cacipacore"
"california encephalitis orthobunyavirus",FALSE,""
"callitrichine gammaherpesvirus 3",FALSE,""
"camelpox",TRUE,"camelpox"
"candiru phlebovirus",FALSE,""
"canid alphaherpesvirus 1",FALSE,""
"canine distemper",TRUE,"canine distemper"
"canine mastadenovirus a",TRUE,"canine mastadenovirus a"
"cano delgadito hantavirus",FALSE,""
"capim orthobunyavirus",FALSE,""
"caprine alphaherpesvirus 1",FALSE,""
