"Original","Submitted","Accepted_name","Selected_family","Selected_order","Selected_class","Synonyms"
"aotus trivirgatus","Aotus trivirgatus","Aotus trivirgatus","Aotidae","Primates","Mammalia","Cheirogaleus commersonii"
"aotus trivirgatus","Aotus trivirgatus","Aotus trivirgatus","Aotidae","Primates","Mammalia","Nyctipithecus duruculi"
"aotus trivirgatus","Aotus trivirgatus","Aotus trivirgatus","Aotidae","Primates","Mammalia","Nyctipithecus felinus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo aethiopicus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo americanus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo arabicus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo australasicus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo cafer"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo capensis"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo columbicus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo drennani"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo grimaldii"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo hottentotus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo hyperboreus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo indicus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo japeticus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo melaninus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo monstrosus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo neptunianus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo palestinus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo patagonus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo priscus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo scythicus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo sinicus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo spelaeus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo troglodytes"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo wadjakensis"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo sapiens cro-magnonensis"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo sapiens grimaldiensis"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo fossilis proto-aethiopicus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo fossilis protoaethiopicus"
"homo sapiens","Homo sapiens","Homo sapiens","Hominidae","Primates","Mammalia","Homo sapiens cromagnonensis"
"papio ursinus","Papio ursinus","Papio ursinus","Cercopithecidae","Primates","Mammalia",NA
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus calliaudi"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus cano-viridis"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus cinereo-viridis"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Simia engytithia"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus griseo-viridis"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus griseus"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus matschiei"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Simia subviridis"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus toldti"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Lasiopyga weidholzi"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus canoviridis"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus cinereoviridis"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus griseoviridis"
"chlorocebus aethiops","Chlorocebus aethiops","Chlorocebus aethiops","Cercopithecidae","Primates","Mammalia","Cercopithecus aethiops zavattarii"
"mandrillus leucophaeus","Mandrillus leucophaeus","Mandrillus leucophaeus","Cercopithecidae","Primates","Mammalia",NA
"macaca fascicularis","Macaca fascicularis","Macaca fascicularis","Cercopithecidae","Primates","Mammalia",NA
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Simia erythraea"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Simia fulvus"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Macacus lasiotus"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Pithecus littoralis"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Macaca nipalensis"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Macaca oinops"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Simia rhesus"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Inuus sancti-johannis"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Macaca siamica"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Macacus tcheliensis"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Macacus vestitus"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Inuus sanctijohannis"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Macacus rhesus villosus"
"macaca mulatta","Macaca mulatta","Macaca mulatta","Cercopithecidae","Primates","Mammalia","Macaca mulatta mcmahoni"
"pan troglodytes","Pan troglodytes","Pan troglodytes","Hominidae","Primates","Mammalia",NA
"saimiri sciureus","Saimiri sciureus","Saimiri sciureus","Cebidae","Primates","Mammalia","Simia apedia"
"saimiri sciureus","Saimiri sciureus","Saimiri sciureus","Cebidae","Primates","Mammalia","Lemur leucopsis"
"saimiri sciureus","Saimiri sciureus","Saimiri sciureus","Cebidae","Primates","Mammalia","Simia morta"
"saimiri sciureus","Saimiri sciureus","Saimiri sciureus","Cebidae","Primates","Mammalia","Chrysothrix nigrivittata"
"saimiri sciureus","Saimiri sciureus","Saimiri sciureus","Cebidae","Primates","Mammalia","Sapajou saimiri"
"saimiri sciureus","Saimiri sciureus","Saimiri sciureus","Cebidae","Primates","Mammalia","Saimiri sciureus sciureus"
"callithrix jacchus","Callithrix jacchus","Callithrix jacchus","Cebidae","Primates","Mammalia","Jacchus albicollis"
"callithrix jacchus","Callithrix jacchus","Callithrix jacchus","Cebidae","Primates","Mammalia","Hapale communis"
"callithrix jacchus","Callithrix jacchus","Callithrix jacchus","Cebidae","Primates","Mammalia","Hapale leucotis"
"callithrix jacchus","Callithrix jacchus","Callithrix jacchus","Cebidae","Primates","Mammalia","Jacchus vulgaris"
"callithrix jacchus","Callithrix jacchus","Callithrix jacchus","Cebidae","Primates","Mammalia","Simia jacchus moschatus"
"callithrix jacchus","Callithrix jacchus","Callithrix jacchus","Cebidae","Primates","Mammalia","Jacchus vulgaris rufus"
"gorilla gorilla","Gorilla gorilla","Gorilla gorilla","Hominidae","Primates","Mammalia",NA
"chlorocebus pygerythrus","Chlorocebus pygerythrus","Chlorocebus pygerythrus","Cercopithecidae","Primates","Mammalia",NA
"macaca radiata","Macaca radiata","Macaca radiata","Cercopithecidae","Primates","Mammalia",NA
"macaca cyclopis","Macaca cyclopis","Macaca cyclopis","Cercopithecidae","Primates","Mammalia","Macacus affinis"
"hylobates lar","Hylobates lar","Hylobates lar","Hylobatidae","Primates","Mammalia",NA
"papio hamadryas","Papio hamadryas","Papio hamadryas","Cercopithecidae","Primates","Mammalia","Hamadryas aegyptiaca"
"papio hamadryas","Papio hamadryas","Papio hamadryas","Cercopithecidae","Primates","Mammalia","Papio arabicus"
"papio hamadryas","Papio hamadryas","Papio hamadryas","Cercopithecidae","Primates","Mammalia","Papio brockmani"
"papio hamadryas","Papio hamadryas","Papio hamadryas","Cercopithecidae","Primates","Mammalia","Hamadryas chaeropitheus"
"papio hamadryas","Papio hamadryas","Papio hamadryas","Cercopithecidae","Primates","Mammalia","Simia cynamolgus"
"papio hamadryas","Papio hamadryas","Papio hamadryas","Cercopithecidae","Primates","Mammalia","Theropithecus nedjo"
"papio hamadryas","Papio hamadryas","Papio hamadryas","Cercopithecidae","Primates","Mammalia","Cynocephalus wagleri"
