Pathogen_Original,Synonym,InAssoc,Pathogen_Harmonised,Notes
acara orthobunyavirus,,FALSE,acara,
adelaide river ephemerovirus,,FALSE,adelaide river,
adeno-associated dependoparvovirus a,,FALSE,adeno-associated virus-1,unclear whether a-b are serotypes 1-2
adeno-associated dependoparvovirus b,,FALSE,adeno-associated virus-2,unclear whether a-b are serotypes 1-2
african green monkey simian foamy,,TRUE,african green monkey simian foamy,
african horse sickness,african horsesickness virus; african horse sickness group; african horse sickness virus ahsv,TRUE,african horse sickness,
african swine fever,"african swine fever virus, asfv; african swine fever virus asf; african swine fever virus asfv",TRUE,african swine fever,
aichivirus a,,FALSE,aichi,Aichi A is Aichi
aichivirus b,,FALSE,aichivirus b,Unsure
aichivirus c,,FALSE,aichivirus c,unsure
akabane orthobunyavirus,,FALSE,akabane,
alagoas vesiculovirus,vesicular stomatitis virus; vesicular stomatitis virus vsv,FALSE,vesicular stomatitis alagoas,
alcelaphine gammaherpesvirus 1,"aihv-1; malignant catarrhal fever virus; bovine herpesvirus 3, etc.",FALSE,bovine herpesvirus 3,
alcelaphine gammaherpesvirus 2,alhv-2; alcelaphine herpesvirus 2,FALSE,alcelaphine herpesvirus 2,
allpahuayo mammarenavirus,allpahuayo virus; allpaahuayo virus,FALSE,allpaahuayo,
alphacoronavirus 1,alphacoronavirus-1,TRUE,alphacoronavirus 1,
alphapapillomavirus 1,human papillomavirus 32,FALSE,human papillomavirus 32,
alphapapillomavirus 10,human papillomavirus 6,FALSE,human papillomavirus 6,
alphapapillomavirus 11,human papillomavirus 34,FALSE,human papillomavirus 34,
alphapapillomavirus 12,"rhesus papillomavirus type 1; rhesus monkey papillomavirus; macaca mulatta papillomavirus 1, etc.",FALSE,rhesus monkey papillomavirus 1,
alphapapillomavirus 13,,FALSE,alphapapillomavirus 13,
alphapapillomavirus 14,human papillomavirus 90,FALSE,human papillomavirus cand90,
alphapapillomavirus 2,human papillomavirus 10,FALSE,human papillomavirus 10,
alphapapillomavirus 3,human papillomavirus 61,FALSE,human papillomavirus 61,
alphapapillomavirus 4,human papillomavirus 2,FALSE,human papillomavirus 2,
alphapapillomavirus 5,human papillomavirus 26,FALSE,human papillomavirus 26,
alphapapillomavirus 6,human papillomavirus 53,FALSE,human papillomavirus 53,
alphapapillomavirus 7,human papillomavirus 18,FALSE,human papillomavirus 18,
alphapapillomavirus 8,human papillomavirus 7,FALSE,human papillomavirus 7,
alphapapillomavirus 9,human papillomavirus 16,FALSE,human papillomavirus 16,
amapari mammarenavirus,amapari virus;amapari mammarenavirus; amapari arenavirus,FALSE,amapari,
andes hantavirus,andes virus,FALSE,andes,
anopheles b orthobunyavirus,,FALSE,anopheles b,
aotine betaherpesvirus 1,herpesvirus aotus 1; aotine herpesvirus 1,FALSE,aotine herpesvirus 1,
apoi,,TRUE,apoi,
aquamavirus a,,FALSE,aquamavirus a,
aravan lyssavirus,aravan virus,FALSE,aravan,
aroa,,TRUE,aroa,
ateline alphaherpesvirus 1,"spider monkey herpesvirus; herpesvirus ateles 1 hva 1; ateline herpesvirus 1, etc.",FALSE,ateline herpesvirus 1,
ateline gammaherpesvirus 2,herpesvirus ateles; ateline herpesvirus 2,FALSE,ateline herpesvirus 2,
ateline gammaherpesvirus 3,ateline herpesvirus 3,FALSE,ateline herpesvirus 3,
australian bat lyssavirus,,TRUE,australian bat lyssavirus,
avastrovirus 2,,FALSE,avastrovirus 2,
avastrovirus 3,,FALSE,avastrovirus 3,
avian dependoparvovirus 1,,FALSE,avian dependoparvovirus 1,
avian orthoreovirus,avian reovirus,TRUE,avian orthoreovirus,
bagaza,,TRUE,bagaza,
bakau orthobunyavirus,,FALSE,bakau,
banna,coltivirus banna,TRUE,banna,
banzi,,TRUE,banzi,
barmah forest,,TRUE,barmah forest,
bat hepatitis,,FALSE,bat hepatitis,
bat mastadenovirus a,bat adenovirus a,FALSE,bat adenovirus a,
bat mastadenovirus b,bat adenovirus b,FALSE,bat adenovirus b,
bayou hantavirus,bayou virus,FALSE,bayou,
bear canyon mammarenavirus,bear canyon virus,FALSE,bear canyon,
bebaru,,TRUE,bebaru,
beluga whale coronavirus sw1,coronavirus sw1,TRUE,beluga whale coronavirus sw1,
benevides orthobunyavirus,,FALSE,benevides,
berrimah ephemerovirus,,FALSE,berrimah,
bertioga orthobunyavirus,,FALSE,bertioga,
betacoronavirus 1,,TRUE,betacoronavirus 1,
betapapillomavirus 1,human papillomavirus 5,FALSE,human papillomavirus 5,
betapapillomavirus 2,human papillomavirus 9,FALSE,human papillomavirus 9,
betapapillomavirus 3,human papillomavirus 49,FALSE,human papillomavirus 49,
betapapillomavirus 4,human papillomavirus 92,FALSE,human papillomavirus cand92,
betapapillomavirus 5,human papillomavirus 96,FALSE,human papillomavirus cand96,
betapapillomavirus 6,,FALSE,betapapillomavirus 6,
bimiti orthobunyavirus,,FALSE,bimiti,
black creek canal hantavirus,black creek canal virus,FALSE,black creek canal,
bluetongue,bluetongue virus btv; bluetongue virus group,TRUE,bluetongue,
bokeloh bat lyssavirus,,FALSE,bokeloh bat lyssavirus,
border disease,,TRUE,border disease,
bos taurus polyomavirus 1,bovine polyomavirus bpyv; polyomavirus bovis; bovine polyomavirus,FALSE,bovine polyomavirus,
bouboui,,TRUE,bouboui,
bovine alphaherpesvirus 1,"infectious bovine rhinotracheitis virus; bovine herpesvirus bhv-1; bovine rhinotracheitis virus, etc.",TRUE,bovine alphaherpesvirus 1,
bovine alphaherpesvirus 2,"bovine mammillitis virus; allerton virus; bovine herpesvirus 2, etc.",TRUE,bovine alphaherpesvirus 2,
bovine alphaherpesvirus 5,bovine encephalitis herpesvirus; bovine herpesvirus type 5; bovine herpesvirus 5,FALSE,bovine herpesvirus 5,
bovine atadenovirus d,bovine adenovirus d,FALSE,bovine adenovirus d,
bovine fever ephemerovirus,bovine ephemeral fever virus befv,FALSE,bovine ephemeral fever,
bovine foamy,bovine syncytial virus,TRUE,bovine foamy,
bovine gammaherpesvirus 4,"bhv-4; bovine cytomegalovirus bhv-4; bovine herpesvirus 4, etc.",FALSE,bovine herpesvirus 4,
bovine gammaherpesvirus 6,bovine herpesvirus 6,FALSE,bovine herpesvirus 6,
bovine immunodeficiency,bovine immunodeficiency-like virus,TRUE,bovine immunodeficiency,
bovine leukemia,bovine leukemia virus blv,TRUE,bovine leukemia,
bovine mastadenovirus a,bovine adenovirus a,FALSE,bovine adenovirus a,
bovine mastadenovirus b,bovine adenovirus b,FALSE,bovine adenovirus b,
bovine mastadenovirus c,bovine adenovirus c,FALSE,bovine adenovirus c,
bovine papular stomatitis,,TRUE,bovine papular stomatitis,
bovine parainfluenza virus 3,bovine parainfluenza virus type 3; bovine parainfluenza 3 virus,TRUE,bovine parainfluenza virus 3,
bovine respiratory syncytial,brs; bovine respiratory syncytial virus brsv; bovine rsv,TRUE,bovine respiratory syncytial,
