HostOriginal,HostTaxID,HostNCBIResolved,Host,HostGenus,HostFamily,HostOrder,HostClass,ManualResolved_Note
alcelaphus lichtensteinii,59517,TRUE,Alcelaphus buselaphus,Alcelaphus,Bovidae,Artiodactyla,Mammalia,
anser canagica,107021,TRUE,Anser canagica,Anser,Anatidae,Anseriformes,Aves,
ardea novaehollandiae,390973,TRUE,Egretta novaehollandiae,Egretta,Ardeidae,Pelecaniformes,Aves,
arvicola terrestris,1047088,TRUE,Arvicola amphibius,Arvicola,Cricetidae,Rodentia,Mammalia,
bolomys lasiurus,30635,TRUE,Necromys lasiurus,Necromys,Cricetidae,Rodentia,Mammalia,
cercopithecus aethiops,9534,TRUE,Chlorocebus aethiops,Chlorocebus,Cercopithecidae,Primates,Mammalia,
cisticola chiniana,NA,FALSE,Cisticola chiniana,Cisticola chiniana,Cisticolidae,Passeriformes,Aves,
coendou rothschildi,NA,FALSE,Coendou rothschildi,Coendou,Erethizontidae,Rodentia,Mammalia,IUCN
cremnomys blanfordi,NA,FALSE,Madromys blanfordi,Madromys,Muridae,Rodentia,Mammalia,IUCN
crocidura zaphiri,NA,FALSE,Crocidura zaphiri,Crocidura,Soricidae,Eulipotyphla,Mammalia,IUCN
dobsonia anderseni,170213,TRUE,Dobsonia andersoni,Dobsonia,Pteropodidae,Chiroptera,Mammalia,
dorcopsis muelleri,NA,FALSE,Dorcopsis muelleri,Dorcopsis,Macropodidae,Diprotodontia,Mammalia,IUCN
eliomys munbyanus,NA,FALSE,Eliomys munbyanus,Eliomys,Gliridae,Rodentia,Mammalia,IUCN
eolophus roseicapillus,176039,TRUE,Eolophus roseicapilla,Eolophus,Cacatuidae,Psittaciformes,Aves,
erethizon dorsatus,34844,TRUE,Erethizon dorsatum,Erethizon,Erethizontidae,Rodentia,Mammalia,
funisciurus congicus,NA,FALSE,Funisciurus congicus,Funisciurus,Sciuridae,Rodentia,Mammalia,IUCN
funisciurus lemniscatus,NA,FALSE,Funisciurus lemniscatus,Funisciurus,Sciuridae,Rodentia,Mammalia,IUCN
gerbilliscus kempii,410301,TRUE,Gerbilliscus kempi,Gerbilliscus,Muridae,Rodentia,Mammalia,
gorilla graueri,46359,TRUE,Gorilla beringei graueri,Gorilla,Hominidae,Primates,Mammalia,
gulosus aristotelis,126867,TRUE,Phalacrocorax aristotelis,Phalacrocorax,Phalacrocoracidae,Pelecaniformes,Aves,
herpestes edwardsi,39705,FALSE,Herpestes edwardsii,Herpestes,Herpestidae,Carnivora,Mammalia,
hipposideros commersonii,110941,TRUE,Macronycteris commersoni,Macronycteris,Hipposideridae,Chiroptera,Mammalia,
hipposideros crumeniferus,NA,FALSE,Hipposideros crumeniferus,Hipposideros,Hipposideridae,Chiroptera,Mammalia,
histriophoca fasciata,39088,TRUE,Histriophoca fasciata,Histriophoca,Phocidae,Carnivora,Mammalia,
hyaena hyaena,95912,TRUE,Hyaena hyaena,Hyaena,Hyaenidae,Carnivora,Mammalia,
ictonyx libyca,470560,TRUE,Ictonyx libyca,Ictonyx,Mustelidae,Carnivora,Mammalia,
labroides dimidatus,241309,TRUE,Labroides dimidiatus,Labroides,Labridae,Labriformes,Actinopteri,
litoria caerulea,30344,TRUE,Ranoidea caerulea,Ranoidea,Hylidae,Anura,Amphibia,
litoria citropa,94770,TRUE,Ranoidea citropa,Ranoidea,Hylidae,Anura,Amphibia,
litoria gracilenta,95133,TRUE,Ranoidea gracilenta,Ranoidea,Hylidae,Anura,Amphibia,
litoria splendida,30345,TRUE,Ranoidea splendida,Ranoidea,Hylidae,Anura,Amphibia,
lophostoma silvicola,263451,TRUE,Lophostoma silvicolum,Lophostoma,Phyllostomidae,Chiroptera,Mammalia,
madromys blanfordi,NA,FALSE,Madromys blanfordi,Madromys,Muridae,Rodentia,Mammalia,
meriones hurrianae,NA,FALSE,Meriones hurrianae,Meriones,Muridae,Rodentia,Mammalia,IUCN
nannopterum auritus,56069,TRUE,Phalacrocorax auritus,Phalacrocorax,Phalacrocoracidae,Pelecaniformes,Aves,
natator depressa,27790,TRUE,Natator depressa,Natator,Cheloniidae,Testudines,Reptilia,
nycteris gambiensis,NA,FALSE,Nycteris gambiensis,Nycteris,Nycteridae,Chiroptera,Mammalia,IUCN
nycteris nana,NA,FALSE,Nycteris nana,Nycteris,Nycteridae,Chiroptera,Mammalia,IUCN
pelomys isseli,NA,FALSE,Pelomys isseli,Pelomys,Muridae,Rodentia,Mammalia,IUCN
phoenicoparrus minor,704175,TRUE,Phoeniconaias minor,Phoeniconaias,Phoenicopteridae,Phoenicopteriformes,Aves,
piliocolobus semlikiensis,NA,FALSE,Piliocolobus semlikiensis,Piliocolobus,Cercopithecidae,Primates,Mammalia,IUCN
procolobus rufomitratus,591934,TRUE,Piliocolobus rufomitratus,Piliocolobus,Cercopithecidae,Primates,Mammalia,
procyon pygmaeus,NA,FALSE,procyon pygmaeus,Procyon,Procyonidae,Carnivora,Mammalia,IUCN
rana brownorum,200787,TRUE,Lithobates brownorum,Lithobates,Ranidae,Anura,Amphibia,
rana esculenta,45623,TRUE,Pelophylax lessonae,Pelophylax,Ranidae,Anura,Amphibia,
rhacophorus arboreus,68419,TRUE,Zhangixalus arboreus,Zhangixalus,Rhacophoridae,Anura,Amphibia,
rhipidura fulginosa,381039,TRUE,Rhipidura fuliginosa,Rhipidura,Rhipiduridae,Passeriformes,Aves,
saguinus nigricollis,9489,TRUE,Leontocebus nigricollis,Leontocebus,Cebidae,Primates,Mammalia,
tadarida condylura,258863,TRUE,Mops condylurus,Mops,Molossidae,Chiroptera,Mammalia,
tadarida pumila,242384,TRUE,Chaerephon pumilus,Chaerephon,Molossidae,Chiroptera,Mammalia,
viverra civettina,NA,FALSE,Viverra civettina,Viverra,Viverridae,Carnivora,Mammalia,IUCN
abbottina rivularis,75332,TRUE,Abbottina rivularis,Abbottina,Gobionidae,Cypriniformes,Actinopteri,
abramis ballerus,155074,TRUE,Ballerus ballerus,Ballerus,Leuciscidae,Cypriniformes,Actinopteri,
abramis bjoerkna,58317,TRUE,Blicca bjoerkna,Blicca,Leuciscidae,Cypriniformes,Actinopteri,
abramis brama,38527,TRUE,Abramis brama,Abramis,Leuciscidae,Cypriniformes,Actinopteri,
abramis sapa,155073,TRUE,Ballerus sapa,Ballerus,Leuciscidae,Cypriniformes,Actinopteri,
abrornis proregulus,56435,TRUE,Phylloscopus proregulus,Phylloscopus,Phylloscopidae,Passeriformes,Aves,
abrothrix longipilis,29094,TRUE,Abrothrix longipilis,Abrothrix,Cricetidae,Rodentia,Mammalia,
abrothrix olivaceus,29098,TRUE,Abrothrix olivaceus,Abrothrix,Cricetidae,Rodentia,Mammalia,
abrothrix sanborni,682468,TRUE,Abrothrix sanborni,Abrothrix,Cricetidae,Rodentia,Mammalia,
acanthemblemaria crockeri,57777,TRUE,Acanthemblemaria crockeri,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,
acanthis flammea,54769,TRUE,Acanthis flammea,Acanthis,Fringillidae,Passeriformes,Aves,
acanthochromis polyacanthus,80966,TRUE,Acanthochromis polyacanthus,Acanthochromis,Pomacentridae,NA,Actinopteri,
acanthogobius flavimanus,86203,TRUE,Acanthogobius flavimanus,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,
acanthogobius hasta,267130,TRUE,Acanthogobius hasta,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,
acanthopagrus australis,160963,TRUE,Acanthopagrus australis,Acanthopagrus,Sparidae,Spariformes,Actinopteri,
acanthopagrus bifasciatus,767411,TRUE,Acanthopagrus bifasciatus,Acanthopagrus,Sparidae,Spariformes,Actinopteri,
acanthopagrus butcheri,8179,TRUE,Acanthopagrus butcheri,Acanthopagrus,Sparidae,Spariformes,Actinopteri,
acanthopagrus latus,8177,TRUE,Acanthopagrus latus,Acanthopagrus,Sparidae,Spariformes,Actinopteri,
acanthopagrus schlegelii,72011,TRUE,Acanthopagrus schlegelii,Acanthopagrus,Sparidae,Spariformes,Actinopteri,
acanthophis antarcticus,8605,TRUE,Acanthophis antarcticus,Acanthophis,Elapidae,Squamata,Lepidosauria,
acanthurus chirurgus,51758,TRUE,Acanthurus chirurgus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,
acanthurus nigrofuscus,12913,TRUE,Acanthurus nigrofuscus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,
accipiter cooperii,261198,TRUE,Accipiter cooperii,Accipiter,Accipitridae,Accipitriformes,Aves,
accipiter gentilis,8957,TRUE,Accipiter gentilis,Accipiter,Accipitridae,Accipitriformes,Aves,
accipiter gularis,258530,TRUE,Accipiter gularis,Accipiter,Accipitridae,Accipitriformes,Aves,
accipiter nisus,211598,TRUE,Accipiter nisus,Accipiter,Accipitridae,Accipitriformes,Aves,
accipiter trivirgatus,210844,TRUE,Accipiter trivirgatus,Accipiter,Accipitridae,Accipitriformes,Aves,
acinonyx jubatus,32536,TRUE,Acinonyx jubatus,Acinonyx,Felidae,Carnivora,Mammalia,
acipenser baerii,27689,TRUE,Acipenser baerii,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acipenser brevirostrum,7907,TRUE,Acipenser brevirostrum,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acipenser gueldenstaedtii,7902,TRUE,Acipenser gueldenstaedtii,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acipenser oxyrinchus,36177,TRUE,Acipenser oxyrinchus,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acipenser persicus,61968,TRUE,Acipenser persicus,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acipenser ruthenus,7906,TRUE,Acipenser ruthenus,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acipenser schrenckii,111304,TRUE,Acipenser schrenckii,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acipenser sinensis,61970,TRUE,Acipenser sinensis,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acipenser sturio,61674,TRUE,Acipenser sturio,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acipenser transmontanus,7904,TRUE,Acipenser transmontanus,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,
acomys cahirinus,10068,TRUE,Acomys cahirinus,Acomys,Muridae,Rodentia,Mammalia,
acomys dimidiatus,60744,TRUE,Acomys dimidiatus,Acomys,Muridae,Rodentia,Mammalia,
acomys johannis,81632,TRUE,Acomys johannis,Acomys,Muridae,Rodentia,Mammalia,
acomys russatus,60746,TRUE,Acomys russatus,Acomys,Muridae,Rodentia,Mammalia,
acris crepitans,317300,TRUE,Acris crepitans,Acris,Hylidae,Anura,Amphibia,
acrocephalus arundinaceus,39621,TRUE,Acrocephalus arundinaceus,Acrocephalus,Sylviidae,Passeriformes,Aves,
acrocephalus dumetorum,68474,TRUE,Acrocephalus dumetorum,Acrocephalus,Sylviidae,Passeriformes,Aves,
acrocephalus palustris,68475,TRUE,Acrocephalus palustris,Acrocephalus,Sylviidae,Passeriformes,Aves,
acrocephalus schoenobaenus,52609,TRUE,Acrocephalus schoenobaenus,Acrocephalus,Sylviidae,Passeriformes,Aves,
acrocephalus scirpaceus,48156,TRUE,Acrocephalus scirpaceus,Acrocephalus,Sylviidae,Passeriformes,Aves,
acropoma hanedai,390682,TRUE,Acropoma hanedai,Acropoma,Acropomatidae,Pempheriformes,Actinopteri,
acropoma japonicum,2233869,TRUE,Acropoma japonicum,Acropoma,Acropomatidae,Pempheriformes,Actinopteri,
actinemys marmorata,335395,TRUE,Actinemys marmorata,Actinemys,Emydidae,Testudines,NA,
actitis macularia,190659,TRUE,Actitis macularius,Actitis,Scolopacidae,Charadriiformes,Aves,
addax nasomaculatus,59515,TRUE,Addax nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,
aechmophorus occidentalis,57236,TRUE,Aechmophorus occidentalis,Aechmophorus,Podicipedidae,Podicipediformes,Aves,
aegithalos caudatus,73327,TRUE,Aegithalos caudatus,Aegithalos,Aegithalidae,Passeriformes,Aves,
aegolius acadicus,56265,TRUE,Aegolius acadicus,Aegolius,Strigidae,Strigiformes,Aves,
aegolius funereus,103375,TRUE,Aegolius funereus,Aegolius,Strigidae,Strigiformes,Aves,
aegypius monachus,8959,TRUE,Aegypius monachus,Aegypius,Accipitridae,Accipitriformes,Aves,
aeoliscus strigatus,270546,TRUE,Aeoliscus strigatus,Aeoliscus,Centriscidae,Syngnathiformes,Actinopteri,
aeorestes cinereus,257879,TRUE,Aeorestes cinereus,Aeorestes,Vespertilionidae,Chiroptera,Mammalia,
aeorestes egregius,461400,TRUE,Aeorestes egregius,Aeorestes,Vespertilionidae,Chiroptera,Mammalia,
aepyceros melampus,9897,TRUE,Aepyceros melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,
aethomys kaiseri,253247,TRUE,Aethomys kaiseri,Aethomys,Muridae,Rodentia,Mammalia,
aethomys namaquensis,472707,TRUE,Micaelamys namaquensis,Micaelamys,Muridae,Rodentia,Mammalia,
aetobatus narinari,87140,TRUE,Aetobatus narinari,Aetobatus,Myliobatidae,Myliobatiformes,Chondrichthyes,
afrixalus fornasini,39600,TRUE,Afrixalus fornasini,Afrixalus,Hyperoliidae,Anura,Amphibia,
agalychnis callidryas,197464,TRUE,Agalychnis callidryas,Agalychnis,Hylidae,Anura,Amphibia,
agama agama,103336,TRUE,Agama agama,Agama,Agamidae,Squamata,Lepidosauria,
agama impalearis,129731,TRUE,Agama impalearis,Agama,Agamidae,Squamata,Lepidosauria,
agamia agami,706245,TRUE,Agamia agami,Agamia,Ardeidae,Pelecaniformes,Aves,
agapornis fischeri,60463,TRUE,Agapornis fischeri,Agapornis,Psittacidae,Psittaciformes,Aves,
agapornis lilianae,60464,TRUE,Agapornis lilianae,Agapornis,Psittacidae,Psittaciformes,Aves,
agapornis nigrigenis,60465,TRUE,Agapornis nigrigenis,Agapornis,Psittacidae,Psittaciformes,Aves,
agapornis personata,60466,TRUE,Agapornis personatus,Agapornis,Psittacidae,Psittaciformes,Aves,
agapornis personatus,60466,TRUE,Agapornis personatus,Agapornis,Psittacidae,Psittaciformes,Aves,
agapornis pullarius,60467,TRUE,Agapornis pullarius,Agapornis,Psittacidae,Psittaciformes,Aves,
agapornis roseicollis,60468,TRUE,Agapornis roseicollis,Agapornis,Psittacidae,Psittaciformes,Aves,
agapornis taranta,60469,TRUE,Agapornis taranta,Agapornis,Psittacidae,Psittaciformes,Aves,
agelaius phoeniceus,39638,TRUE,Agelaius phoeniceus,Agelaius,Icteridae,Passeriformes,Aves,
agelaius tricolor,9191,TRUE,Agelaius tricolor,Agelaius,Icteridae,Passeriformes,Aves,
ageneiosus inermis,642921,TRUE,Ageneiosus inermis,Ageneiosus,Auchenipteridae,Siluriformes,Actinopteri,
agkistrodon bilineatus,8718,TRUE,Agkistrodon bilineatus,Agkistrodon,Viperidae,Squamata,Lepidosauria,
agkistrodon contortrix,8720,TRUE,Agkistrodon contortrix,Agkistrodon,Viperidae,Squamata,Lepidosauria,
agkistrodon piscivorus,8715,TRUE,Agkistrodon piscivorus,Agkistrodon,Viperidae,Squamata,Lepidosauria,
ailuropoda melanoleuca,9646,TRUE,Ailuropoda melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,
ailurus fulgens,9649,TRUE,Ailurus fulgens,Ailurus,Ailuridae,Carnivora,Mammalia,
aix galericulata,8832,TRUE,Aix galericulata,Aix,Anatidae,Anseriformes,Aves,
aix sponsa,8833,TRUE,Aix sponsa,Aix,Anatidae,Anseriformes,Aves,
akodon azarae,29095,TRUE,Akodon azarae,Akodon,Cricetidae,Rodentia,Mammalia,
akodon cursor,29096,TRUE,Akodon cursor,Akodon,Cricetidae,Rodentia,Mammalia,
akodon montensis,106112,TRUE,Akodon montensis,Akodon,Cricetidae,Rodentia,Mammalia,
akodon paranaensis,230113,TRUE,Akodon paranaensis,Akodon,Cricetidae,Rodentia,Mammalia,
akodon simulator,484371,TRUE,Akodon simulator,Akodon,Cricetidae,Rodentia,Mammalia,
akodon varius,140762,TRUE,Akodon varius,Akodon,Cricetidae,Rodentia,Mammalia,
alauda arvensis,88112,TRUE,Alauda arvensis,Alauda,Alaudidae,Passeriformes,Aves,
alburnoides bipunctatus,58321,TRUE,Alburnoides bipunctatus,Alburnoides,Leuciscidae,Cypriniformes,Actinopteri,
alburnus alburnus,54556,TRUE,Alburnus alburnus,Alburnus,Leuciscidae,Cypriniformes,Actinopteri,
alcedo atthis,36245,TRUE,Alcedo atthis,Alcedo,Alcedinidae,Coraciiformes,Aves,
alcedo leucogaster,1977158,TRUE,Corythornis leucogaster,Corythornis,Alcedinidae,Coraciiformes,Aves,
