"Parasite","Host","DetectionMethod","DetectionQuality","Citation","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","Year","YearType","ParasiteType","Database","PathogenName_Harmonised","PathogenType","HumanInfective_External","IsZoonotic","DiseaseAgent","Disease_GIDEON","Route_GIDEON","HumanInfective_Any"
"andes","abrothrix longipilis","PCR",2,"Medina et al. 2009","rodentia","cricetidae","abrothrix","longipilis","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"andes","abrothrix olivaceus","Antibodies",0,"Sosa-Estani et al. 2002","rodentia","cricetidae","abrothrix","olivaceus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2002,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"andes","abrothrix sanborni","Antibodies",0,"Padula et al. 2004","rodentia","cricetidae","abrothrix","sanborni","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2004,"ScientificPublicationDate_Earliest","virus","HP3","andes","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"african horse sickness","acinonyx jubatus","bcELISA",0,"Alexander et al. 1995","carnivora","felidae","acinonyx","jubatus","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1995,"ScientificPublicationDate_Earliest","virus","HP3","african horse sickness","virus",0,0,0,NA,NA,0
"bluetongue","acinonyx jubatus","Antibodies",0,"Alexander et al. 1994","carnivora","felidae","acinonyx","jubatus","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1994,"ScientificPublicationDate_Earliest","virus","HP3","bluetongue","virus",0,0,0,NA,NA,0
"feline astrovirus","acinonyx jubatus","PCR",2,"Atkins at al. 2009","carnivora","felidae","acinonyx","jubatus","unassigned","astroviridae",NA,"mamastrovirus","SS","RNA","non-enveloped",FALSE,TRUE,6696.5,0,0,0,2009,"ScientificPublicationDate_Earliest","virus","HP3","feline astrovirus","virus",0,0,0,NA,NA,0
"feline calicivirus","acinonyx jubatus","Antibodies",0,"Munson et al. 2004","carnivora","felidae","acinonyx","jubatus","unassigned","caliciviridae",NA,"vesivirus","SS","RNA","non-enveloped",FALSE,TRUE,7683,0,0,0,2004,"ScientificPublicationDate_Earliest","virus","HP3","feline calicivirus","virus",0,0,0,NA,NA,0
"feline coronavirus","acinonyx jubatus","Antibodies",0,"Hofmann-Lehmann et al. 1996","carnivora","felidae","acinonyx","jubatus","nidovirales","coronaviridae",NA,"coronavirus","SS","RNA","enveloped",FALSE,TRUE,30000,0,0,0,1996,"ScientificPublicationDate_Earliest","virus","HP3","feline coronavirus","virus",0,0,0,NA,NA,0
"rabies","acinonyx jubatus","Antibodies",0,"Thalwitzer et al. 2010","carnivora","felidae","acinonyx","jubatus","mononegavirales","rhabdoviridae",NA,"lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","rabies","virus",1,1,1,"rabies","direct, bite",1
"akabane","aepyceros melampus","Antibodies",0,"Davies et al. 1985","cetartiodactyla","bovidae","aepyceros","melampus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12035,0,0,0,1985,"ScientificPublicationDate_Earliest","virus","HP3","akabane","virus",0,0,0,NA,NA,0
