name,exact,type,order,class,family,genus,species
alcelaphus lichtensteinii,false,hosts,Artiodactyla,Mammalia,Bovidae,Alcelaphus,Alcelaphus lichtensteini
bos frontalis gaurus,false,hosts,Artiodactyla,Mammalia,Bovidae,Bos,Bos frontalis x Bos taurus
bos taurus primigenius,false,hosts,Artiodactyla,Mammalia,Bovidae,Bos,Bos primigenius
bubalus bubalis arnee,false,hosts,Artiodactyla,Mammalia,Bovidae,Bubalus,Bubalus carabanensis
cercopithecus aethiops,false,hosts,Primates,Mammalia,Cercopithecidae,Chlorocebus,Chlorocebus aethiops
coendou rothschildi,false,hosts,Passeriformes,Aves,Fringillidae,Cyanoloxia,Cyanoloxia rothschildii
crocidura zaphiri,false,hosts,Eulipotyphla,Mammalia,Soricidae,Crocidura,Crocidura pachyura
dobsonia anderseni,false,hosts,Chiroptera,Mammalia,Pteropodidae,Dobsonia,Dobsonia andersoni
dorcopsis muelleri,false,hosts,Coraciiformes,Aves,Meropidae,Merops,Merops muelleri
eliomys munbyanus,false,hosts,Rodentia,Mammalia,Gliridae,Eliomys,Eliomys quercinus
erethizon dorsatus,false,hosts,Rodentia,Mammalia,Erethizontidae,Erethizon,Erethizon dorsatum
failed,false,hosts,Squamata,Lepidosauria,Colubridae,Fowlea,
funambulus tristriatus,false,hosts,Rodentia,Mammalia,Sciuridae,Funambulus,Funambulus sublineatus
funisciurus congicus,false,hosts,Rodentia,Mammalia,Sciuridae,Funisciurus,Funisciurus pyrropus
funisciurus lemniscatus,false,hosts,Squamata,Lepidosauria,Elapidae,Micrurus,Micrurus lemniscatus
gerbilliscus kempii,false,hosts,Rodentia,Mammalia,Muridae,Gerbilliscus,Gerbilliscus kempi
herpestes edwardsi,false,hosts,Carnivora,Mammalia,Herpestidae,Urva,Urva edwardsii
lagothrix lagothricha,false,hosts,Primates,Mammalia,Atelidae,Lagothrix,Lagothrix lagotricha
lama glama guanicoe,false,hosts,Artiodactyla,Mammalia,Camelidae,Lama,Lama guanicoe
lyroderma lyra,false,hosts,Chiroptera,Mammalia,Megadermatidae,Megaderma,Megaderma lyra
macronycteris commersonii,false,hosts,Chiroptera,Mammalia,Hipposideridae,Macronycteris,Macronycteris commersoni
madromys blanfordi,false,hosts,Rodentia,Mammalia,Dipodidae,Jaculus,Jaculus blanfordi
mazama gouazoubira,false,hosts,Artiodactyla,Mammalia,Cervidae,Mazama,Mazama gouazoupira
meriones hurrianae,false,hosts,Rodentia,Mammalia,Muridae,Meriones,Meriones meridianus
nycteris gambiensis,false,hosts,Caprimulgiformes,Aves,Nyctibiidae,Nyctibius,Nyctibius jamaicensis
nycteris nana,false,hosts,Chiroptera,Mammalia,Vespertilionidae,Afronycteris,Afronycteris nana
pekania pennanti pennanti,false,hosts,Passeriformes,Aves,Passeridae,Petronia,Petronia petronia
pelomys isseli,false,hosts,Rodentia,Mammalia,Muridae,Melomys,Melomys paveli
perimyotis subflavus subflavus,false,hosts,Chiroptera,Mammalia,Vespertilionidae,Perimyotis,Perimyotis subflavus
piliocolobus semlikiensis,false,hosts,Primates,Mammalia,Cercopithecidae,Piliocolobus,Piliocolobus pennantii
procyon pygmaeus,false,hosts,Primates,Mammalia,Hominidae,Pongo,Pongo pygmaeus
semnopithecus schistaceus,false,hosts,Passeriformes,Aves,Thamnophilidae,Thamnophilus,Thamnophilus schistaceus
tadarida condylura,false,hosts,Gadiformes,Actinopteri,Macrouridae,Nezumia,Nezumia condylura
tadarida pumila,false,hosts,Chiroptera,Mammalia,Molossidae,Tadarida,Tadarida fulminans
aotus azarae,true,hosts,Primates,Mammalia,Aotidae,Aotus,Aotus azarai
bos grunniens mutus,true,hosts,Artiodactyla,Mammalia,Bovidae,Bos,Bos mutus
bos taurus indicus,true,hosts,Artiodactyla,Mammalia,Bovidae,Bos,Bos indicus
capra hircus aegagrus,true,hosts,Artiodactyla,Mammalia,Bovidae,Capra,Capra aegagrus
cebuella pygmaea,true,hosts,Primates,Mammalia,Cebidae,Callithrix,Callithrix pygmaea
cercopithecus mitis albogularis,true,hosts,Primates,Mammalia,Cercopithecidae,Cercopithecus,Cercopithecus albogularis
choeropsis liberiensis,true,hosts,Artiodactyla,Mammalia,Hippopotamidae,Hexaprotodon,Hexaprotodon liberiensis
dusicyon thous,true,hosts,Carnivora,Mammalia,Canidae,Cerdocyon,Cerdocyon thous
equus quagga,true,hosts,Perissodactyla,Mammalia,Equidae,Equus,Equus burchellii
equus quagga burchellii,true,hosts,Perissodactyla,Mammalia,Equidae,Equus,Equus burchellii
felis manul,true,hosts,Carnivora,Mammalia,Felidae,Otocolobus,Otocolobus manul
herpestes javanicus,true,hosts,Carnivora,Mammalia,Herpestidae,Urva,Urva javanica
herpestes sanguineus,true,hosts,Carnivora,Mammalia,Herpestidae,Galerella,Galerella sanguinea
histriophoca fasciata,true,hosts,Carnivora,Mammalia,Phocidae,Phoca,Phoca fasciata
lasiurus cinereus,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Aeorestes,Aeorestes cinereus
lasiurus ega,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Dasypterus,Dasypterus ega
lasiurus egregius,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Aeorestes,Aeorestes egregius
lasiurus intermedius,true,hosts,Chiroptera,Mammalia,Vespertilionidae,Dasypterus,Dasypterus intermedius
