name,order,species
canis lupus familiaris,Carnivora,Canis lupus
dusicyon thous,Carnivora,Cerdocyon thous
felis manul,Carnivora,Otocolobus manul
herpestes edwardsi,Carnivora,Urva edwardsii
herpestes javanicus,Carnivora,Urva javanica
herpestes sanguineus,Carnivora,Galerella sanguinea
histriophoca fasciata,Carnivora,Phoca fasciata
monachus schauinslandi,Carnivora,Neomonachus schauinslandi
mustela vison,Carnivora,Neovison vison
pagophilus groenlandicus,Carnivora,Phoca groenlandica
pekania pennanti pennanti,Apiales,Polyscias chapelieri
procyon pygmaeus,Coleoptera,Cercyon pygmaeus
uncia uncia,Carnivora,Panthera uncia
alcelaphus lichtensteinii,Artiodactyla,Alcelaphus lichtensteini
bos frontalis gaurus,Artiodactyla,Bos frontalis x Bos taurus
bos grunniens mutus,Artiodactyla,Bos mutus
bos taurus indicus,Artiodactyla,Bos indicus
bos taurus primigenius,Stylommatophora,Bostryx primigenius
bubalus bubalis arnee,Artiodactyla,Bubalus carabanensis
capra hircus aegagrus,Artiodactyla,Capra aegagrus
choeropsis liberiensis,Artiodactyla,Hexaprotodon liberiensis
lama glama guanicoe,Artiodactyla,Lama guanicoe
mazama gouazoubira,Artiodactyla,Mazama gouazoupira
ovis aries orientalis,Artiodactyla,Ovis orientalis
physeter macrocephalus,Artiodactyla,Physeter catodon
taurotragus oryx,Artiodactyla,Tragelaphus oryx
dobsonia anderseni,Chiroptera,Dobsonia andersoni
lasiurus cinereus,Chiroptera,Aeorestes cinereus
lasiurus ega,Chiroptera,Dasypterus ega
lasiurus egregius,Chiroptera,Aeorestes egregius
lasiurus intermedius,Chiroptera,Dasypterus intermedius
lasiurus xanthinus,Chiroptera,Dasypterus xanthinus
lyroderma lyra,Chiroptera,Megaderma lyra
macronycteris commersonii,Chiroptera,Macronycteris commersoni
myonycteris angolensis,Chiroptera,Lissonycteris angolensis
myotis pilosus,Chiroptera,Myotis ricketti
nycteris gambiensis,Haemosporida,Nycteria gabonensis
nycteris nana,Chiroptera,Afronycteris nana
perimyotis subflavus subflavus,Passeriformes,Prinia subflava
rhinolophus hildebrandtii,Chiroptera,Rhinolophus hildebrandti
tadarida condylura,Gadiformes,Nezumia condylura
tadarida plicata,Chiroptera,Chaerephon plicatus
tadarida pumila,Gomphales,Ramaria pumila
micoureus demerarae,Didelphimorphia,Marmosa demerarae
dorcopsis muelleri,Diptera,Docosia muelleri
macropus agilis,Diprotodontia,Notamacropus agilis
macropus parma,Diprotodontia,Notamacropus parma
macropus robustus,Diprotodontia,Osphranter robustus
macropus rufogriseus,Diprotodontia,Notamacropus rufogriseus
macropus rufus,Diprotodontia,Osphranter rufus
crocidura zaphiri,Eulipotyphla,Crocidura olivieri
equus quagga,Perissodactyla,Equus burchellii
equus quagga burchellii,Perissodactyla,Equus burchellii
aotus azarae,Primates,Aotus azarai
cebuella pygmaea,Primates,Callithrix pygmaea
cercopithecus aethiops,Primates,Chlorocebus aethiops
cercopithecus mitis albogularis,Primates,Cercopithecus albogularis
lagothrix lagothricha,Primates,Lagothrix lagotricha
piliocolobus semlikiensis,Cellvibrionales,Halioglobus sediminis
semnopithecus schistaceus,Passeriformes,Thamnophilus schistaceus
coendou rothschildi,Lepidoptera,Delias rothschildi
eliomys munbyanus,Rodentia,Eliomys quercinus
erethizon dorsatus,Rodentia,Erethizon dorsatum
funambulus tristriatus,Opiliones,Gnomulus rostratus
funisciurus congicus,Rodentia,Exilisciurus concinnus
funisciurus lemniscatus,Squamata,Micrurus lemniscatus
gerbilliscus kempii,Rodentia,Gerbilliscus kempi
loxodontomys micropus,Rodentia,Auliscomys micropus
madromys blanfordi,Diptera,Hadromyia crawfordi
meriones hurrianae,Rodentia,Meriones meridianus
microtus gregalis,Rodentia,Lasiopodomys gregalis
microtus subterraneus,Rodentia,Terricola subterraneus
necromys amoenus,Rodentia,Bolomys amoenus
necromys lasiurus,Rodentia,Bolomys lasiurus
pelomys isseli,Rodentia,Melomys paveli
